id,date,type,category,amount,note
161d49d5,2026-05-26,支出,储蓄,100.0,存入【新学期愿望清单】心愿储蓄
91e128d4,2026-05-27,支出,餐饮,20.0,
fd828b83,2026-05-27,支出,餐饮,15.0,奶茶
a1f409b5,2026-05-30,支出,餐饮,15.0,早午饭
28010e9f,2026-05-30,支出,购物,50.0,洗面奶
fc0e3089,2026-05-30,支出,娱乐,19.9,看电影《给阿嫲的情书》
a4a67c02,2026-05-30,支出,购物,200.0,裤子
79c01320,2026-05-30,支出,交通,15.0,打车
05611ead,2026-05-30,支出,转账,20.0,
5de4249a,2026-05-30,支出,娱乐,40.0,ktv
d9d3dc74,2026-05-30,支出,转账,300.0,
